brand,category,material,delivery_days,inventory,cost,discount_percentage,price
Furneyz,Bed,Plastic,9,105,181.61,27.8,273.18
Krude,Chair,Glass,6,192,385.03,26.9,477.82
Krude,Table,Metal,2,59,276.74,21.9,379.4
Krude,Table,Glass,2,45,281.84,11.0,319.4
Krude,Chair,Glass,9,35,69.74,3.2,120.21
Ordinaer,Table,Plastic,8,185,65.35,20.7,120.2
Furneyz,Sofa,Glass,9,165,64.08,29.4,87.56
LesComfe,Sofa,Wood,4,10,297.14,21.8,505.75
Krude,Bed,Fabric,4,11,268.83,27.9,400.63
Krude,Sofa,Fabric,2,169,316.01,24.1,423.93
Ordinaer,Sofa,Plastic,1,38,31.11,4.9,68.15
Ordinaer,Desk,Fabric,4,198,415.14,7.5,486.46
Ordinaer,Desk,Wood,8,138,288.44,10.3,424.6
Furneyz,Desk,Plastic,2,35,102.49,5.0,
LesComfe,Desk,Metal,8,51,98.95,17.4,131.82
Furneyz,Table,Fabric,1,30,115.38,29.3,132.53
Krude,Bed,Glass,1,32,94.88,22.8,233.64
Ordinaer,Bed,Wood,4,140,197.65,12.7,357.68
Krude,Sofa,Wood,7,145,189.41,0.1,281.03
LesComfe,Bed,Fabric,9,168,142.87,9.4,226.32
LesComfe,Sofa,Metal,5,57,252.79,15.8,374.13
Furneyz,Bed,Glass,2,183,62.45,9.7,140.97
Furneyz,Chair,Metal,7,151,112.46,3.3,181.47
Ordinaer,Chair,Metal,2,127,138.26,13.3,214.86
Ordinaer,Bed,Fabric,9,30,209.74,7.6,319.04
Krude,Table,Glass,9,54,246.64,27.3,403.33
Ordinaer,Sofa,Fabric,3,9,81.71,3.1,160.83
Ordinaer,Bed,Fabric,8,187,248.48,1.5,351.76
Krude,Sofa,Wood,4,129,159.42,0.2,364.07
LesComfe,Desk,Fabric,3,14,63.75,9.8,
Ordinaer,Bed,Plastic,1,2,249.25,19.8,404.24
Ordinaer,Table,Glass,5,42,105.37,21.9,126.74
Krude,Desk,Wood,4,158,48.98,13.6,79.27
Krude,Bed,Glass,1,197,241.23,20.5,596.25
Krude,Chair,Wood,8,66,385.28,10.8,484.53
Krude,Bed,Plastic,8,55,344.95,20.0,517.22
Krude,Chair,Fabric,8,62,148.95,1.2,187.08
Ordinaer,Chair,Wood,3,14,52.34,11.7,93.95
Furneyz,Bed,Wood,6,108,286.81,23.7,447.38
Furneyz,Bed,Wood,7,115,200.33,24.1,310.09
Furneyz,Chair,Plastic,9,91,80.1,21.5,
Ordinaer,Sofa,Glass,5,137,220.02,6.1,313.75
LesComfe,Desk,Plastic,9,165,54.89,7.4,65.47
Ordinaer,Table,Wood,6,46,342.3,29.9,459.19
Furneyz,Bed,Wood,4,56,89.12,3.1,208.06
Furneyz,Desk,Fabric,1,49,241.97,5.4,348.14
Krude,Desk,Plastic,1,70,101.04,3.9,190.27
Krude,Sofa,Plastic,5,142,188.32,9.8,326.64
Krude,Desk,Metal,3,145,196.21,6.3,296.02
Ordinaer,Bed,Glass,5,81,70.11,14.9,166.48
LesComfe,Desk,Metal,5,115,311.01,14.3,486.31
LesComfe,Bed,Metal,1,104,217.11,27.0,
Krude,Bed,Glass,8,87,389.23,1.0,590.97
LesComfe,Chair,Fabric,5,1,397.93,9.6,452.67
Furneyz,Sofa,Fabric,5,103,168.76,17.9,366.91
Furneyz,Table,Glass,9,83,410.01,18.1,464.84
Krude,Chair,Glass,8,42,63.69,14.4,89.82
Krude,Table,Plastic,1,153,85.66,24.5,138.19
Krude,Bed,Plastic,3,70,37.34,1.9,87.94
LesComfe,Chair,Plastic,7,165,137.53,24.5,196.4
Ordinaer,Desk,Plastic,1,93,183.93,14.8,224.9
Krude,Desk,Wood,1,41,134.73,4.0,
LesComfe,Table,Wood,5,132,219.96,26.6,422.93
Krude,Bed,Fabric,9,138,111.41,19.5,263.17
Ordinaer,Table,Wood,6,64,116.64,4.9,176.42
Krude,Sofa,Wood,2,33,181.86,1.0,338.35
Furneyz,Desk,Plastic,9,119,67.25,4.2,113.42
Krude,Chair,Plastic,6,0,251.69,18.3,410.99
Furneyz,Chair,Glass,5,129,68.63,5.4,83.55
Furneyz,Chair,Plastic,5,147,430.7,6.8,494.1
LesComfe,Desk,Glass,3,60,263.17,0.8,397.51
LesComfe,Bed,Glass,6,148,120.24,21.7,
Furneyz,Desk,Wood,4,87,32.99,24.3,52.48
Furneyz,Desk,Plastic,2,67,287.94,23.9,416.96
Krude,Chair,Wood,3,126,217.32,3.8,368.09
Krude,Desk,Plastic,9,139,285.88,27.1,
Furneyz,Chair,Wood,9,21,354.03,20.2,
LesComfe,Bed,Wood,6,147,61.77,26.9,104.15
Krude,Sofa,Wood,9,81,135.9,13.4,243.01
Krude,Chair,Fabric,4,128,77.54,13.1,102.14
Krude,Table,Wood,5,29,240.75,23.5,438.4
LesComfe,Sofa,Metal,6,125,282.72,2.8,380.06
Furneyz,Bed,Metal,9,96,139.48,15.6,248.63
Krude,Sofa,Metal,5,23,53.43,25.1,90.39
LesComfe,Chair,Glass,8,13,139.48,24.9,189.94
LesComfe,Bed,Wood,1,35,147.23,28.7,245.42
LesComfe,Table,Metal,5,196,200.02,20.9,378.32
LesComfe,Chair,Glass,1,23,260.44,6.2,336.9
Krude,Chair,Metal,6,187,268.1,0.6,449.25
Furneyz,Bed,Plastic,7,94,206.21,14.4,328.12
Furneyz,Bed,Fabric,5,54,86.07,15.4,129.77
LesComfe,Sofa,Wood,1,23,304.77,7.2,426.6
Furneyz,Table,Fabric,6,151,282.89,3.7,392.35
Krude,Sofa,Fabric,5,181,214.24,17.6,347.96
Furneyz,Sofa,Plastic,6,25,221.15,22.9,456.48
Furneyz,Chair,Plastic,7,193,220.53,29.8,272.21
Ordinaer,Bed,Plastic,7,79,173.58,22.7,
Furneyz,Chair,Glass,2,165,169.36,23.8,242.39
Furneyz,Table,Metal,3,64,37.71,18.5,61.44
LesComfe,Sofa,Wood,6,74,54.55,29.6,113.33
LesComfe,Table,Plastic,3,178,48.22,19.2,64.14
Ordinaer,Bed,Wood,2,162,175.5,25.8,420.48
Krude,Bed,Wood,4,42,153.06,28.4,239.33
Ordinaer,Desk,Wood,5,28,174.85,27.9,278.86
Furneyz,Table,Plastic,9,164,229.23,11.4,458.4
Furneyz,Chair,Plastic,3,80,114.25,2.4,162.18
Krude,Table,Metal,3,185,121.73,5.2,234.67
Krude,Sofa,Plastic,6,53,238.08,1.8,448.5
