Row ID,Company Name,Rating,Job Title,Salary,Salaries Reported,Location,Employment Status,Job Roles
79417,Unacademy,Good,Android Developer,2046000.0,3,Bangalore,Full Time,Mobile
79419,Appoids Tech Solutions,Good,Android Developer,1227600.0,3,Bangalore,Full Time,Mobile
79424,Endeavour Software Technologies,Good,Android Developer,1227600.0,3,Bangalore,Full Time,Mobile
79427,Wibmo,Good,Android Developer,1841400.0,2,Bangalore,Full Time,Mobile
79429,Bookmyshow,Good,Android Developer,1227600.0,2,Bangalore,Full Time,Mobile
79431,Novopay Solutions,Good,Android Developer,1227600.0,2,Bangalore,Full Time,Mobile
79433,J.P. Morgan,Good,Android Developer,2046000.0,2,Bangalore,Full Time,Mobile
79434,Acviss,Good,Android Developer,1023000.0,2,Bangalore,Full Time,Mobile
79435,Fresher,Good,Android Developer,834768.0,2,Bangalore,Full Time,Mobile
79437,Nuclei,Good,Android Developer,1636800.0,2,Bangalore,Full Time,Mobile
79440,Tech Mahindra,Good,Android Developer,1023000.0,2,Bangalore,Full Time,Mobile
79442,Retranz Infolabs,Excellent,Android Developer,1185750.0,2,Bangalore,Full Time,Mobile
79444,KrazyBee,Good,Android Developer,1448568.0,2,Bangalore,Full Time,Mobile
79446,Dcoder,Good,Android Developer,1432200.0,2,Bangalore,Full Time,Mobile
79447,Masai School,Excellent,Android Developer,1185750.0,2,Bangalore,Full Time,Mobile
79448,Integra Micro Software Services (P),Good,Android Developer,1023000.0,2,Bangalore,Full Time,Mobile
79449,DocsApp,Average,Android Developer,1116000.0,2,Bangalore,Full Time,Mobile
79453,Edelweiss Financial Services,Good,Android Developer,1227600.0,2,Bangalore,Full Time,Mobile
79455,L&T Technology Services,Good,Android Developer,1023000.0,2,Bangalore,Full Time,Mobile
79459,IBM,Good,Android Developer,1104840.0,2,Bangalore,Full Time,Mobile
79461,Knitter,Good,Android Developer,1023000.0,2,Bangalore,Full Time,Mobile
79465,CRK Gida Technologies,Excellent,Android Developer,1660050.0,2,Bangalore,Full Time,Mobile
79470,In Time Tec,Good,Android Developer,1227600.0,2,Bangalore,Full Time,Mobile
79472,CYBERNETYX Interaktiv,Good,Android Developer,1767744.0,2,Bangalore,Full Time,Mobile
79478,powerplay app,Excellent,Android Developer,2371500.0,2,Bangalore,Full Time,Mobile
79479,Fembuddy,Good,Android Developer,859320.0,2,Bangalore,Full Time,Mobile
79482,HARMAN,Good,Android Developer,1432200.0,2,Bangalore,Full Time,Mobile
79485,TruKKer Technologies,Good,Android Developer,1023000.0,2,Bangalore,Full Time,Mobile
79486,Datamatics Global Services,Average,Android Developer,1240000.0,2,Bangalore,Full Time,Mobile
79487,Grabhouse,Average,Android Developer,833280.0,2,Bangalore,Full Time,Mobile
79489,Honeywell,Good,Android Developer,1636800.0,2,Bangalore,Full Time,Mobile
79491,Provab Technosoft,Average,Android Developer,610080.0,2,Bangalore,Full Time,Mobile
79492,Ai-Connect,Average,Android Developer,744000.0,1,Bangalore,Full Time,Mobile
79495,OZOPROP Technologies,Good,Android Developer,883872.0,1,Bangalore,Full Time,Mobile
79497,Ashwin Infotrron,Good,Android Developer,2430648.0,1,Bangalore,Full Time,Mobile
79498,Housejoy,Excellent,Android Developer,1185750.0,1,Bangalore,Full Time,Mobile
79499,Proven Solution,Excellent,Android Developer,1185750.0,1,Bangalore,Full Time,Mobile
79501,DT Consulting,Good,Android Developer,2046000.0,1,Bangalore,Full Time,Mobile
79503,Philips,Good,Android Developer,1023000.0,1,Bangalore,Full Time,Mobile
79504,Vensure Employer Services,Average,Android Developer,907680.0,1,Bangalore,Full Time,Mobile
79506,Software Developers,Good,Android Developer,1399464.0,1,Bangalore,Full Time,Mobile
79507,Livwell holding,Good,Android Developer,1023000.0,1,Bangalore,Full Time,Mobile
79508,Uolo Technology,Good,Android Developer,1636800.0,1,Bangalore,Full Time,Mobile
79511,Dunzo,Good,Android Developer,5728800.0,1,Bangalore,Full Time,Mobile
79512,ABC Tech,Good,Android Developer,1743192.0,1,Bangalore,Full Time,Mobile
79513,SpurTree Technologies,Good,Android Developer,1432200.0,1,Bangalore,Full Time,Mobile
79514,Grab (India),Good,Android Developer,2455200.0,1,Bangalore,Full Time,Mobile
79515,42Gears Mobility Systems,Good,Android Developer,1841400.0,1,Bangalore,Full Time,Mobile
79521,Walmart Global Tech,Good,Android Developer,4705800.0,1,Bangalore,Full Time,Mobile
79524,Photon,Average,Android Developer,1240000.0,1,Bangalore,Full Time,Mobile
79526,Money View,Excellent,Android Developer - Intern,1109862.0,1,Bangalore,Intern,Mobile
79527,Masai School,Excellent,Android Developer - Intern,1897200.0,1,Bangalore,Intern,Mobile
79529,Volvo Group,Good,Android Developer,1841400.0,1,Bangalore,Full Time,Mobile
79531,OnMobile,Good,Android Developer,1841400.0,1,Bangalore,Full Time,Mobile
79532,Nymo,Good,Android Developer,1432200.0,1,Bangalore,Full Time,Mobile
79535,Webloom,Good,Android Developer,1227600.0,1,Bangalore,Full Time,Mobile
79537,Indian Institute of Science,Excellent,Android Developer,967572.0,1,Bangalore,Full Time,Mobile
79541,Adjetter,Good,Android Developer,1023000.0,1,Bangalore,Full Time,Mobile
79543,Bounce,Good,Android Developer,1432200.0,1,Bangalore,Full Time,Mobile
