Date,Sales,Target_sales,Total_expenses
1.10.2012,122,90,76
1.10.2012,123,90,45
2.10.2012,107,90,36
3.10.2012,94,100,21
4.10.2012,182,80,54
5.10.2012,43,60,12
6.10.2012,111,90,43
7.10.2012,66,90,18
8.10.2012,68,90,30
9.10.2012,99,80,22
10.10.2012,120,90,38
11.10.2012,114,90,45
12.10.2012,109,90,71
13.10.2012,144,90,83
14.10.2012,77,100,45
15.10.2012,120,100,54
16.10.2012,109,80,70
17.10.2012,118,90,25
18.10.2012,120,90,38
19.10.2012,119,90,24
20.10.2012,99,100,23
21.10.2012,205,90,59
22.10.2012,218,100,51
23.10.2012,92,100,26
24.10.2012,123,90,25
25.10.2012,92,90,25
26.10.2012,120,110,76
27.10.2012,164,110,45
28.10.2012,114,100,37
29.10.2012,124,100,54
30.10.2012,123,100,25
31.10.2012,125,100,39
1.11.2012,88,90,21
2.11.2012,81,100,21
3.11.2012,78,90,19
4.11.2012,88,100,22
5.11.2012,120,90,37
6.11.2012,121,110,53
7.11.2012,113,100,37
8.11.2012,109,90,46
9.11.2012,106,100,70
10.11.2012,141,100,39
11.11.2012,121,110,54
12.11.2012,121,110,54
13.11.2012,113,100,37
14.11.2012,109,100,46
15.11.2012,115,100,24
16.11.2012,90,90,21
17.11.2012,147,100,85
18.11.2012,99,110,26
19.11.2012,133,100,27
20.11.2012,112,100,71
21.11.2012,127,110,44
22.11.2012,145,100,57
23.11.2012,176,120,46
24.11.2012,127,110,45
25.11.2012,101,90,36
26.11.2012,133,90,26
27.11.2012,77,90,19
28.11.2012,85,100,20
29.11.2012,82,90,21
30.11.2012,122,100,46
1.12.2012,131,100,79
2.12.2012,118,90,74
3.12.2012,88,100,48
4.12.2012,118,100,74
5.12.2012,107,90,36
6.12.2012,160,140,52
7.12.2012,153,110,58
8.12.2012,139,100,40
9.12.2012,160,140,51
10.12.2012,131,100,79
11.12.2012,130,90,76
12.12.2012,131,90,45
13.12.2012,114,90,36
14.12.2012,100,100,21
15.12.2012,194,80,54
16.12.2012,46,60,12
17.12.2012,118,90,43
18.12.2012,70,90,18
19.12.2012,72,90,30
20.12.2012,106,80,22
21.12.2012,128,90,38
22.12.2012,121,90,45
23.12.2012,116,90,71
24.12.2012,153,90,83
25.12.2012,82,100,45
26.12.2012,128,100,54
27.12.2012,116,80,70
28.12.2012,126,90,25
29.12.2012,128,90,38
30.12.2012,127,90,24
31.12.2012,106,100,23
1.1.2013,218,90,59
2.1.2013,232,100,51
3.1.2013,98,100,26
4.1.2013,131,90,25
5.1.2013,98,90,25
6.1.2013,128,110,76
7.1.2013,175,110,45
8.1.2013,121,100,37
9.1.2013,132,100,54
10.1.2013,131,100,25
11.1.2013,133,100,39
12.1.2013,94,90,21
13.1.2013,86,100,21
14.1.2013,83,90,19
15.1.2013,94,100,22
16.1.2013,128,90,37
17.1.2013,129,110,53
18.1.2013,120,100,37
19.1.2013,116,90,46
20.1.2013,113,100,70
21.1.2013,150,100,39
22.1.2013,129,110,54
23.1.2013,129,110,54
24.1.2013,120,100,37
25.1.2013,116,100,46
26.1.2013,123,100,24
27.1.2013,96,90,21
28.1.2013,157,100,85
29.1.2013,106,110,26
30.1.2013,142,100,27
31.1.2013,119,100,71
1.2.2013,135,110,44
2.2.2013,155,100,57
3.2.2013,188,120,46
4.2.2013,135,110,45
5.2.2013,108,90,36
6.2.2013,142,90,26
7.2.2013,82,90,19
8.2.2013,91,100,20
9.2.2013,87,90,21
10.2.2013,130,100,46
11.2.2013,140,100,79
12.2.2013,126,90,74
13.2.2013,94,100,48
14.2.2013,126,100,74
15.2.2013,114,90,36
16.2.2013,171,140,52
17.2.2013,163,110,58
18.2.2013,148,100,40
19.2.2013,171,140,51
20.2.2013,140,100,79
21.2.2013,90,80,24
22.2.2013,174,90,46
23.2.2013,120,80,53
24.2.2013,118,80,37
25.2.2013,66,70,19
26.2.2013,187,80,32
27.2.2013,51,70,19
28.2.2013,58,70,17
1.3.2013,177,90,64
2.3.2013,142,80,42
3.3.2013,113,70,37
4.3.2013,144,90,84
5.3.2013,159,70,42
6.3.2013,92,80,25
7.3.2013,88,80,22
8.3.2013,124,90,54
9.3.2013,92,80,25
10.3.2013,70,70,19
11.3.2013,78,80,19
12.3.2013,80,80,19
13.3.2013,123,80,26
14.3.2013,43,50,12
15.3.2013,122,140,48
16.3.2013,56,70,18
17.3.2013,106,80,69
18.3.2013,74,80,45
19.3.2013,106,90,70
20.3.2013,78,70,20
21.3.2013,150,100,43
22.3.2013,120,90,38
23.3.2013,120,80,37
24.3.2013,99,90,27
25.3.2013,101,90,36
26.3.2013,99,90,72
27.3.2013,99,90,27
28.3.2013,99,90,27
29.3.2013,103,80,51
30.3.2013,116,90,37
31.3.2013,82,80,20
1.4.2013,85,80,21
2.4.2013,43,50,11
3.4.2013,106,80,36
4.4.2013,69,80,30
5.4.2013,58,70,18
6.4.2013,107,80,35
7.4.2013,103,90,51
8.4.2013,106,80,35
9.4.2013,82,80,21
10.4.2013,118,80,73
11.4.2013,131,90,79
