Summary,Temperature (C),Date,Hour
Partly Cloudy,9.472222222,31.3.2006,22
Partly Cloudy,9.355555556,31.3.2006,23
Mostly Cloudy,9.377777778,1.4.2006,0
Partly Cloudy,8.288888889,1.4.2006,1
Partly Cloudy,9.222222222,1.4.2006,3
Partly Cloudy,7.733333333,1.4.2006,4
Partly Cloudy,8.772222222,1.4.2006,5
Partly Cloudy,10.82222222,1.4.2006,6
Partly Cloudy,16.01666667,1.4.2006,8
Partly Cloudy,17.14444444,1.4.2006,9
Partly Cloudy,17.8,1.4.2006,10
Partly Cloudy,17.33333333,1.4.2006,11
Partly Cloudy,15.38888889,1.4.2006,14
Mostly Cloudy,15.55,1.4.2006,15
Mostly Cloudy,13.14444444,1.4.2006,17
Mostly Cloudy,11.55,1.4.2006,18
Mostly Cloudy,11.18333333,1.4.2006,19
Partly Cloudy,10.11666667,1.4.2006,20
Mostly Cloudy,10.2,1.4.2006,21
Partly Cloudy,10.42222222,9.4.2006,22
Partly Cloudy,9.911111111,9.4.2006,23
Mostly Cloudy,11.18333333,10.4.2006,0
Partly Cloudy,7.155555556,10.4.2006,1
Partly Cloudy,6.111111111,10.4.2006,2
Partly Cloudy,6.788888889,10.4.2006,3
Mostly Cloudy,7.261111111,10.4.2006,4
Mostly Cloudy,7.8,10.4.2006,5
Mostly Cloudy,9.872222222,10.4.2006,6
Mostly Cloudy,12.22222222,10.4.2006,7
Mostly Cloudy,15.09444444,10.4.2006,8
Mostly Cloudy,17.35555556,10.4.2006,9
Mostly Cloudy,19.00555556,10.4.2006,10
Mostly Cloudy,20.04444444,10.4.2006,11
Mostly Cloudy,21.05,10.4.2006,12
Mostly Cloudy,21.18333333,10.4.2006,13
Mostly Cloudy,20.11666667,10.4.2006,14
Mostly Cloudy,20.21666667,10.4.2006,15
Mostly Cloudy,20.0,10.4.2006,16
Mostly Cloudy,17.8,10.4.2006,17
Mostly Cloudy,16.06111111,10.4.2006,18
Mostly Cloudy,15.02222222,10.4.2006,19
Overcast,14.42222222,10.4.2006,20
Overcast,14.25555556,10.4.2006,21
Overcast,13.77222222,10.4.2006,22
Overcast,13.28333333,10.4.2006,23
Overcast,8.633333333,11.4.2006,0
Overcast,11.25,11.4.2006,1
Overcast,11.18333333,11.4.2006,2
Overcast,10.69444444,11.4.2006,3
Mostly Cloudy,11.11111111,11.4.2006,4
Mostly Cloudy,11.11111111,11.4.2006,5
Partly Cloudy,12.16666667,11.4.2006,6
Partly Cloudy,12.75555556,11.4.2006,7
Partly Cloudy,13.83888889,11.4.2006,8
Partly Cloudy,16.18333333,11.4.2006,9
Mostly Cloudy,17.51666667,11.4.2006,10
Mostly Cloudy,17.38333333,11.4.2006,11
Mostly Cloudy,17.36111111,11.4.2006,12
Mostly Cloudy,17.20555556,11.4.2006,13
Mostly Cloudy,15.63333333,11.4.2006,14
Overcast,13.57777778,11.4.2006,15
Foggy,10.91111111,11.4.2006,16
Foggy,8.8,11.4.2006,17
Overcast,8.961111111,11.4.2006,18
Overcast,8.2,11.4.2006,19
Overcast,7.688888889,11.4.2006,20
Overcast,7.766666667,11.4.2006,21
Foggy,8.2,11.4.2006,22
Foggy,8.177777778,11.4.2006,23
Mostly Cloudy,7.311111111,12.4.2006,0
Overcast,7.644444444,12.4.2006,1
Overcast,6.622222222,12.4.2006,2
Overcast,6.683333333,12.4.2006,3
Overcast,6.088888889,12.4.2006,4
Overcast,6.066666667,12.4.2006,5
Breezy and Mostly Cloudy,6.144444444,12.4.2006,6
Breezy and Mostly Cloudy,7.133333333,12.4.2006,7
Overcast,7.205555556,12.4.2006,8
Mostly Cloudy,7.566666667,12.4.2006,9
Mostly Cloudy,8.9,12.4.2006,10
Mostly Cloudy,9.961111111,12.4.2006,11
Mostly Cloudy,9.888888889,12.4.2006,12
Mostly Cloudy,11.06666667,12.4.2006,13
Overcast,10.11666667,12.4.2006,14
Overcast,11.03888889,12.4.2006,15
Overcast,10.65,12.4.2006,16
Overcast,10.05,12.4.2006,17
Mostly Cloudy,9.9,12.4.2006,18
Overcast,8.794444444,12.4.2006,19
Mostly Cloudy,7.827777778,12.4.2006,20
Overcast,7.855555556,12.4.2006,21
Mostly Cloudy,7.316666667,12.4.2006,22
Overcast,7.244444444,12.4.2006,23
Partly Cloudy,5.438888889,13.4.2006,0
Overcast,7.2,13.4.2006,1
Overcast,6.688888889,13.4.2006,2
Overcast,6.211111111,13.4.2006,3
Overcast,6.111111111,13.4.2006,4
Overcast,6.111111111,13.4.2006,5
Overcast,6.172222222,13.4.2006,6
Overcast,7.222222222,13.4.2006,7
Overcast,7.288888889,13.4.2006,8
Overcast,7.405555556,13.4.2006,9
Overcast,7.961111111,13.4.2006,10
Overcast,8.033333333,13.4.2006,11
Overcast,9.077777778,13.4.2006,12
Overcast,9.05,13.4.2006,13
Overcast,9.05,13.4.2006,14
Overcast,9.183333333,13.4.2006,15
Overcast,9.072222222,13.4.2006,16
Overcast,7.983333333,13.4.2006,17
Overcast,8.072222222,13.4.2006,18
Overcast,7.894444444,13.4.2006,19
Overcast,7.311111111,13.4.2006,20
Mostly Cloudy,7.338888889,13.4.2006,21
Mostly Cloudy,6.622222222,13.4.2006,22
Partly Cloudy,6.066666667,13.4.2006,23
Partly Cloudy,8.338888889,14.4.2006,0
Mostly Cloudy,5.183333333,14.4.2006,1
Mostly Cloudy,3.722222222,14.4.2006,2
Mostly Cloudy,4.855555556,14.4.2006,3
Foggy,5.211111111,14.4.2006,4
Overcast,6.255555556,14.4.2006,5
Mostly Cloudy,7.794444444,14.4.2006,6
Mostly Cloudy,10.05,14.4.2006,7
Mostly Cloudy,12.2,14.4.2006,8
Mostly Cloudy,12.7,14.4.2006,9
Partly Cloudy,13.93333333,14.4.2006,10
Partly Cloudy,15.09444444,14.4.2006,11
Mostly Cloudy,15.15,14.4.2006,12
Partly Cloudy,16.17777778,14.4.2006,13
Partly Cloudy,16.25,14.4.2006,14
Partly Cloudy,16.29444444,14.4.2006,15
Partly Cloudy,16.1,14.4.2006,16
Partly Cloudy,12.95555556,14.4.2006,17
Mostly Cloudy,13.85,14.4.2006,18
Mostly Cloudy,12.77777778,14.4.2006,19
Mostly Cloudy,12.15,14.4.2006,20
Mostly Cloudy,10.67777778,14.4.2006,21
Mostly Cloudy,10.44444444,14.4.2006,22
Mostly Cloudy,9.822222222,14.4.2006,23
Mostly Cloudy,11.02777778,15.4.2006,0
Mostly Cloudy,7.138888889,15.4.2006,1
Mostly Cloudy,7.622222222,15.4.2006,2
Mostly Cloudy,7.627777778,15.4.2006,3
Mostly Cloudy,7.044444444,15.4.2006,4
Partly Cloudy,8.6,15.4.2006,5
Partly Cloudy,9.65,15.4.2006,6
Partly Cloudy,12.10555556,15.4.2006,7
Partly Cloudy,12.77777778,15.4.2006,8
Partly Cloudy,13.81111111,15.4.2006,9
Partly Cloudy,16.01666667,15.4.2006,10
Partly Cloudy,17.12777778,15.4.2006,11
Partly Cloudy,17.14444444,15.4.2006,12
Mostly Cloudy,17.77777778,15.4.2006,13
Mostly Cloudy,17.77777778,15.4.2006,14
Mostly Cloudy,17.80555556,15.4.2006,15
Mostly Cloudy,16.15555556,15.4.2006,16
Mostly Cloudy,14.05,15.4.2006,17
Mostly Cloudy,13.08888889,15.4.2006,18
Mostly Cloudy,12.28888889,15.4.2006,19
Overcast,12.77777778,15.4.2006,20
Overcast,12.72777778,15.4.2006,21
Overcast,12.26666667,15.4.2006,22
Overcast,11.71111111,15.4.2006,23
Partly Cloudy,10.82777778,16.4.2006,0
Overcast,12.2,16.4.2006,1
Overcast,12.2,16.4.2006,2
Overcast,11.68888889,16.4.2006,3
Overcast,11.20555556,16.4.2006,4
Mostly Cloudy,11.13333333,16.4.2006,5
Mostly Cloudy,11.43888889,16.4.2006,6
Mostly Cloudy,13.03333333,16.4.2006,7
Mostly Cloudy,17.24444444,16.4.2006,8
Mostly Cloudy,17.73888889,16.4.2006,9
Overcast,17.84444444,16.4.2006,10
Mostly Cloudy,18.86111111,16.4.2006,11
Overcast,18.66666667,16.4.2006,12
Overcast,17.82222222,16.4.2006,13
Overcast,17.8,16.4.2006,14
Mostly Cloudy,17.35,16.4.2006,15
Mostly Cloudy,16.06666667,16.4.2006,16
Mostly Cloudy,14.93333333,16.4.2006,17
Mostly Cloudy,13.92222222,16.4.2006,18
Mostly Cloudy,12.75555556,16.4.2006,19
Mostly Cloudy,12.75555556,16.4.2006,20
Mostly Cloudy,12.37222222,16.4.2006,21
